C	0.0	45.254833995939045	42.0	36.76955262170047	32.0	36.76955262170047	42.0	45.254833995939045	44.721359549995796	53.600373133029585	38.01315561749642	44.721359549995796	
G	38.0	43.840620433565945	44.0	42.42640687119285	39.0	41.012193308819754	42.0	46.66904755831214	0.0	58.7962583843564	40.24922359499622	42.485291572496	
A	24.0	24.041630560342615	45.0	22.627416997969522	23.0	53.74011537017761	13.0	55.154328932550705	20.12461179749811	58.89821729050889	13.416407864998739	13.416407864998739	
B	25.0	41.012193308819754	42.0	38.18376618407357	27.0	38.18376618407357	42.0	43.840620433565945	33.54101966249684	49.92995093127971	46.95742752749558	44.721359549995796	
D	39.0	42.42640687119285	41.0	42.42640687119285	30.0	42.42640687119285	43.0	42.42640687119285	40.24922359499622	50.80354318352215	46.95742752749558	42.485291572496	
E	34.0	52.32590180780452	42.0	32.526911934581186	23.0	32.526911934581186	42.0	55.154328932550705	13.416407864998739	47.885279575251516	46.95742752749558	46.95742752749558	
F	0.0	45.254833995939045	32.0	24.041630560342615	17.0	24.041630560342615	13.0	18.384776310850235	0.0	36.235341863986875	38.01315561749642	13.416407864998739	
O	40.0	42.42640687119285	42.0	41.012193308819754	39.0	42.42640687119285	44.0	43.840620433565945	40.24922359499622	57.3149195236284	42.485291572496	42.485291572496	
H	33.0	46.66904755831214	6.0	45.254833995939045	32.0	45.254833995939045	3.0	46.66904755831214	35.77708763999664	52.009614495783374	2.23606797749979	2.23606797749979	
I	5.0	7.0710678118654755	42.0	7.0710678118654755	5.0	7.0710678118654755	42.0	7.0710678118654755	4.47213595499958	42.2965719651132	11.180339887498949	11.180339887498949	
J	14.0	19.79898987322333	0.0	0.0	0.0	38.18376618407357	32.0	18.384776310850235	15.652475842498529	59.682493245507096	35.77708763999664	24.596747752497688	
K	12.0	9.899494936611665	14.0	35.35533905932738	25.0	35.35533905932738	0.0	59.39696961966999	8.94427190999916	48.877397639399746	46.95742752749558	2.23606797749979	
L	0.0	0.0	0.0	16.97056274847714	12.0	16.97056274847714	31.0	43.840620433565945	0.0	54.3415126767741	26.832815729997478	33.54101966249684	
M	40.0	56.568542494923804	0.0	55.154328932550705	39.0	55.154328932550705	43.0	56.568542494923804	44.721359549995796	56.586217403180434	24.596747752497688	26.832815729997478	
N	34.0	48.08326112068523	12.0	43.840620433565945	31.0	43.840620433565945	6.0	48.08326112068523	38.01315561749642	52.20153254455275	46.95742752749558	29.068883707497267	
Q	38.0	42.42640687119285	46.0	45.254833995939045	42.0	41.012193308819754	40.0	55.154328932550705	40.24922359499622	62.289646009589745	40.24922359499622	40.24922359499622	
S	23.0	39.59797974644666	43.0	39.59797974644666	13.0	39.59797974644666	43.0	42.42640687119285	11.180339887498949	54.20332093147061	42.485291572496	42.485291572496	
P	39.0	39.59797974644666	31.0	33.94112549695428	24.0	33.94112549695428	18.0	24.041630560342615	40.24922359499622	39.20459156782532	53.665631459994955	20.12461179749811	
R	30.0	42.42640687119285	37.0	43.840620433565945	31.0	43.840620433565945	10.0	49.49747468305833	38.01315561749642	48.27007354458868	51.42956348249516	15.652475842498529	
T	5.0	38.18376618407357	27.0	38.18376618407357	5.0	7.0710678118654755	57.0	7.0710678118654755	4.47213595499958	42.638011210655684	11.180339887498949	11.180339887498949	
U	34.0	48.08326112068523	0.0	45.254833995939045	32.0	38.18376618407357	39.0	39.59797974644666	38.01315561749642	56.0357029044876	38.01315561749642	40.24922359499622	
