C	0.0	45.254833995939045	42.0	36.76955262170047	32.0	36.76955262170047	42.0	45.254833995939045	
G	38.0	43.840620433565945	44.0	42.42640687119285	39.0	41.012193308819754	42.0	46.66904755831214	
A	24.0	24.041630560342615	45.0	22.627416997969522	23.0	53.74011537017761	13.0	55.154328932550705	
B	25.0	41.012193308819754	42.0	38.18376618407357	27.0	38.18376618407357	42.0	43.840620433565945	
D	39.0	42.42640687119285	41.0	42.42640687119285	30.0	42.42640687119285	43.0	42.42640687119285	
E	34.0	52.32590180780452	42.0	32.526911934581186	23.0	32.526911934581186	42.0	55.154328932550705	
F	0.0	45.254833995939045	32.0	24.041630560342615	17.0	24.041630560342615	13.0	18.384776310850235	
O	40.0	42.42640687119285	42.0	41.012193308819754	39.0	42.42640687119285	44.0	43.840620433565945	
H	33.0	46.66904755831214	6.0	45.254833995939045	32.0	45.254833995939045	3.0	46.66904755831214	
I	5.0	7.0710678118654755	42.0	7.0710678118654755	5.0	7.0710678118654755	42.0	7.0710678118654755	
J	14.0	19.79898987322333	0.0	0.0	0.0	38.18376618407357	32.0	18.384776310850235	
K	12.0	9.899494936611665	14.0	35.35533905932738	25.0	35.35533905932738	0.0	59.39696961966999	
L	0.0	0.0	0.0	16.97056274847714	12.0	16.97056274847714	31.0	43.840620433565945	
M	40.0	56.568542494923804	0.0	55.154328932550705	39.0	55.154328932550705	43.0	56.568542494923804	
N	34.0	48.08326112068523	12.0	43.840620433565945	31.0	43.840620433565945	6.0	48.08326112068523	
Q	38.0	42.42640687119285	46.0	45.254833995939045	42.0	41.012193308819754	40.0	55.154328932550705	
S	23.0	39.59797974644666	43.0	39.59797974644666	13.0	39.59797974644666	43.0	42.42640687119285	
P	39.0	39.59797974644666	31.0	33.94112549695428	24.0	33.94112549695428	18.0	24.041630560342615	
R	30.0	42.42640687119285	37.0	43.840620433565945	31.0	43.840620433565945	10.0	49.49747468305833	
T	5.0	38.18376618407357	27.0	38.18376618407357	5.0	7.0710678118654755	57.0	7.0710678118654755	
U	34.0	48.08326112068523	0.0	45.254833995939045	32.0	38.18376618407357	39.0	39.59797974644666	
V	23.0	55.154328932550705	0.0	50.91168824543142	22.0	22.627416997969522	45.0	24.041630560342615	
W	43.0	19.79898987322333	40.0	18.384776310850235	43.0	48.08326112068523	0.0	48.08326112068523	
X	8.0	25.45584412271571	10.0	24.041630560342615	7.0	39.59797974644666	7.0	39.59797974644666	
Y	17.0	46.66904755831214	0.0	46.66904755831214	14.0	11.313708498984761	51.0	14.142135623730951	
Z	6.0	43.840620433565945	42.0	5.656854249492381	7.0	45.254833995939045	42.0	46.66904755831214	
f	3.0	16.97056274847714	33.0	16.97056274847714	6.0	8.48528137423857	49.0	4.242640687119285	
b	30.0	29.698484809834994	25.0	29.698484809834994	21.0	29.698484809834994	36.0	35.35533905932738	
d	22.0	31.11269837220809	25.0	28.284271247461902	30.0	35.35533905932738	36.0	31.11269837220809	
h	28.0	26.870057685088806	21.0	29.698484809834994	21.0	29.698484809834994	0.0	39.59797974644666	
a	23.0	31.11269837220809	33.0	32.526911934581186	23.0	33.94112549695428	29.0	35.35533905932738	
c	0.0	32.526911934581186	30.0	25.45584412271571	22.0	25.45584412271571	32.0	33.94112549695428	
e	29.0	31.11269837220809	31.0	28.284271247461902	27.0	29.698484809834994	32.0	32.526911934581186	
g	25.0	35.35533905932738	42.0	35.35533905932738	27.0	36.76955262170047	44.0	33.94112549695428	
i	5.0	7.0710678118654755	30.0	5.656854249492381	4.0	5.656854249492381	31.0	7.0710678118654755	
k	9.0	33.94112549695428	5.0	22.627416997969522	16.0	22.627416997969522	6.0	36.76955262170047	
l	5.0	7.0710678118654755	42.0	5.656854249492381	4.0	5.656854249492381	42.0	7.0710678118654755	
m	42.0	36.76955262170047	21.0	32.526911934581186	40.0	50.91168824543142	36.0	50.91168824543142	
n	25.0	29.698484809834994	26.0	32.526911934581186	23.0	32.526911934581186	0.0	35.35533905932738	
o	28.0	29.698484809834994	31.0	29.698484809834994	28.0	31.11269837220809	32.0	31.11269837220809	
p	30.0	35.35533905932738	35.0	29.698484809834994	21.0	29.698484809834994	26.0	29.698484809834994	
q	22.0	31.11269837220809	35.0	35.35533905932738	29.0	28.284271247461902	26.0	31.11269837220809	
r	1.0	32.526911934581186	24.0	11.313708498984761	8.0	11.313708498984761	37.0	1.4142135623730951	
j	7.0	9.899494936611665	45.0	2.8284271247461903	2.0	2.8284271247461903	38.0	9.899494936611665	
t	4.0	19.79898987322333	40.0	18.384776310850235	5.0	7.0710678118654755	39.0	5.656854249492381	
s	19.0	29.698484809834994	31.0	29.698484809834994	15.0	29.698484809834994	32.0	31.11269837220809	
u	24.0	33.94112549695428	0.0	33.94112549695428	24.0	29.698484809834994	28.0	33.94112549695428	
v	17.0	38.18376618407357	0.0	38.18376618407357	17.0	16.97056274847714	33.0	16.97056274847714	
w	33.0	14.142135623730951	29.0	12.727922061357855	31.0	33.94112549695428	0.0	35.35533905932738	
x	7.0	29.698484809834994	9.0	21.213203435596427	5.0	25.45584412271571	9.0	33.94112549695428	
y	16.0	35.35533905932738	0.0	24.041630560342615	10.0	9.899494936611665	40.0	15.556349186104045	
z	5.0	36.76955262170047	31.0	32.526911934581186	7.0	35.35533905932738	30.0	38.18376618407357
A	17.0	16.97056274847714	42.0	22.627416997969522	23.0	43.840620433565945	6.0	43.840620433565945	
C	0.0	46.66904755831214	34.0	25.45584412271571	24.0	28.284271247461902	37.0	46.66904755831214	
G	34.0	45.254833995939045	40.0	35.35533905932738	34.0	33.94112549695428	35.0	43.840620433565945	
B	19.0	36.76955262170047	37.0	33.94112549695428	24.0	33.94112549695428	37.0	39.59797974644666	
D	36.0	36.76955262170047	36.0	50.91168824543142	28.0	53.74011537017761	38.0	36.76955262170047	
